year,month,day,hour,DBT,DPT,RH,p_atm,extr_hor_rad,hor_ir_rad,glob_hor_rad,dir_nor_rad,dif_hor_rad,glob_hor_ill,dir_nor_ill,dif_hor_ill,Zlumi,wind_dir,wind_speed,tot_sky_cover,Oskycover,Vis,Cheight,PWobs,PWcodes,Pwater,AsolOptD,SnowD,DaySSnow,fake_year,month_names,DOY,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,erf,delta_mrt,MRT,wind_speed_utci,wind_speed_utci_0,utci_noSun_Wind,utci_noSun_noWind,utci_Sun_Wind,utci_Sun_noWind,utci_noSun_Wind_categories,utci_noSun_noWind_categories,utci_Sun_Wind_categories,utci_Sun_noWind_categories,p_sat,p_vap,hr,t_wb,t_dp,h,adaptive_comfort,adaptive_cmf_80_low,adaptive_cmf_80_up,adaptive_cmf_90_low,adaptive_cmf_90_up,adaptive_cmf_rmt
2015,1,1,1,26.3,23.9,87,96460,0,363,0,0,0,0,0,0,0,55,0.3,0,9,777.7,77777,9,999999999,101,0.164,0,88,year,Jan,1,133.3427919,133.3427919,-43.34279187,-43.34279187,159.8685929,-3.176053385,0,0,26.3,0.6,0.5,29.4,29.5,29.4,29.5,1,1,1,1,3423.3,2978.271,0.018835654,24.6,23.8,74407.33,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,2,25.3,23,87,96445,0,360,0,0,0,0,0,0,0,36,0.5,0,9,777.7,77777,9,999999999,92,0.164,0,88,year,Jan,1,126.7120966,126.7120966,-36.71209662,-36.71209662,144.0260751,-3.195874203,0,0,25.3,0.6,0.5,28.1,28.1,28.1,28.1,1,1,1,1,3226.3,2806.881,0.01772084,23.6,22.8,70530.27,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,3,22.1,20.4,90,96445,0,358,0,0,0,0,0,0,0,23,1.6,5,9,777.7,77777,9,999999999,71,0.164,0,88,year,Jan,1,117.3198972,117.3198972,-27.31989717,-27.31989717,132.0779484,-3.215686879,0,0,22.1,1.6,0.5,23.3,24.4,23.3,24.4,0,0,0,0,2660.9,2394.81,0.015056313,20.8,20.3,60444.84,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,4,21.8,20.1,90,96445,0,357,0,0,0,0,0,0,0,15,1.7,0,9,777.7,77777,9,999999999,69,0.164,0,88,year,Jan,1,106.2187583,106.2187583,-16.21875832,-16.21875832,123.2411077,-3.23549137,0,0,21.8,1.7,0.5,22.8,24.1,22.8,24.1,0,0,0,0,2612.7,2351.43,0.014777101,20.5,20,59426.19,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,5,21.5,20.1,92,96445,0,356,0,0,0,0,0,0,0,355,1.8,0,9,777.7,77777,9,999999999,70,0.164,0,88,year,Jan,1,94.07541569,94.07541569,-4.075415687,-4.075415687,116.5807423,-3.255287635,0,0,21.5,1.8,0.5,22.4,23.9,22.4,23.9,0,0,0,0,2565.2,2359.984,0.014832139,20.5,20,59256.78,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,6,23.8,21.5,87,96445,214,357,0,0,0,0,0,0,0,338,1.7,0,9,777.7,77777,9,999999999,79,0.164,0,88,year,Jan,1,81.18051402,81.28211944,8.819485984,8.717880564,111.4071075,-3.275075632,0,0,23.8,1.7,0.5,25.1,26.3,25.1,26.3,0,1,0,1,2949.5,2566.065,0.016160979,22.1,21.4,65008.07,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,7,25.1,21.2,79,96445,528,358,127,320,33,26895,56482,6788,2230,342,1.5,0,7,777.7,77777,9,999999999,77,0.164,0,88,year,Jan,1,68.03032028,68.07159295,21.96967972,21.92840705,107.2777006,-3.294855321,96.7,22.2,47.3,1.5,0.5,26.4,27.2,32.2,33.1,1,1,2,2,3188.2,2518.678,0.01585493,22.3,21.1,65571.9,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,8,26.3,20.9,72,96445,819,365,342,724,64,51897,84571,10241,2253,2,0.6,0,6,777.7,77777,9,999999999,74,0.164,0,88,year,Jan,1,54.56432131,54.58791819,35.43567869,35.41208181,103.9408088,-3.314626659,228.9,52.6,78.9,0.6,0.5,28,28,41.2,41.2,1,1,3,3,3423.3,2464.776,0.015507161,22.4,20.7,65924.76,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,9,29.1,20.6,60,96505,1068,375,574,851,81,76948,92243,13070,1962,66,0,3,3,777.7,77777,9,999999999,72,0.164,0,88,year,Jan,1,40.91180271,40.9263878,49.08819729,49.0736122,101.3274508,-3.334389605,272.9,62.7,91.8,0.6,0.5,30.3,30.3,45.9,45.9,1,1,3,3,4031.5,2418.9,0.015211473,23.2,20.4,68059.28,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,10,30.7,25.8,75,96530,1257,386,781,917,92,95358,79603,15145,1707,89,1.4,0,7,777.7,77777,9,999999999,120,0.164,0,88,year,Jan,1,27.14995879,27.15859022,62.85004121,62.84140978,99.72197267,-3.354144117,290.1,66.7,97.4,1.4,0.5,33.7,34.1,49.6,50.3,2,2,4,4,4419.7,3314.775,0.021035803,27,25.6,84599.01,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,11,32.4,24.7,64,96555,1374,395,942,953,99,99956,32861,14321,792,104,2.7,0,5,777.7,77777,9,999999999,107,0.164,0,88,year,Jan,1,13.36711533,13.37110147,76.63288467,76.62889853,101.2443129,-3.373890153,290.9,66.9,99.3,2.7,0.5,33.6,35,49.4,51.7,2,2,4,4,4867.2,3115.008,0.019727857,26.8,24.6,83022.69,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,12,34,24,56,96580,1412,401,1034,959,108,103531,32598,16593,1035,150,4.1,1,1,777.7,77777,9,999999999,100,0.164,0,88,year,Jan,1,2.108550347,2.109141255,87.89144965,87.89085875,198.575561,-3.393627673,280.6,64.5,98.5,4.1,0.5,34,36,48.8,52.6,2,2,4,4,5323.9,2981.384,0.018855939,26.9,23.8,82451.89,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,13,34.5,22.2,49,96587,1366,409,1037,906,138,106254,69566,21886,2560,118,4.1,0,2,777.7,1355,9,999999999,84,0.164,0,88,year,Jan,1,14.70376296,14.70816791,75.29623704,75.29183209,259.2976235,-3.413356635,277.5,63.8,98.3,4.1,0.5,33.9,35.8,48.8,52.3,2,2,4,4,5474,2682.26,0.01691267,26,22.1,77989.78,26.2,22.7,29.7,23.7,28.7,27
2015,1,1,14,35,22.3,48,96595,1241,416,943,822,153,97124,77104,20914,3106,121,4.1,1,2,777.7,1364,9,999999999,85,0.164,0,88,year,Jan,1,28.49274327,28.50187986,61.50725673,61.49812014,260.2210454,-3.433076996,260.6,59.9,94.9,4.1,0.5,34.6,36.3,48.4,51.8,2,2,4,4,5627.8,2701.344,0.017036297,26.2,22.2,78824.05,26.2,22.7,29.7,23.7,28.7,27
